1.51.32.0/20          AS24361       CNGI-NJ-IX-AS-AP CERNET2 IX at Southeast University, CN
                      AS4538        ERX-CERNET-BKB China Education and Research Network Center, CN
1.51.48.0/21          AS24361       CNGI-NJ-IX-AS-AP CERNET2 IX at Southeast University, CN
                      AS4538        ERX-CERNET-BKB China Education and Research Network Center, CN
8.224.32.0/24         AS12220       I-EVOLVE-TECHNOLOGY-SERVICES, US
                      AS13602       I-EVOLVE-TECHNOLOGY-SERVICES-VTC, US
8.242.161.0/24        AS3549        LVLT-3549, US
                      AS10753       LUMEN-LEGACY-L3-CUSTOMER-SHARED-USE, US
14.207.0.0/16         AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
                      AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
23.19.52.0/24         AS134351      LEASEWEB-AS-AP Leaseweb Japan K.K., JP
                      AS136988      LEASEWEB-AS-AP LEASEWEB AUSTRALIA PTY LIMITED, AU
23.19.53.0/24         AS59253       LEASEWEB-APAC-SIN-11 Leaseweb Asia Pacific pte. ltd., SG
                      AS136988      LEASEWEB-AS-AP LEASEWEB AUSTRALIA PTY LIMITED, AU
23.19.196.0/24        AS7203        LEASEWEB-USA-SFO, US
                      AS59253       LEASEWEB-APAC-SIN-11 Leaseweb Asia Pacific pte. ltd., SG
23.19.197.0/24        AS7203        LEASEWEB-USA-SFO, US
                      AS59253       LEASEWEB-APAC-SIN-11 Leaseweb Asia Pacific pte. ltd., SG
23.26.251.0/24        AS398465      RACKDOG-LLC, US
                      AS7018        ATT-INTERNET4, US
23.33.176.0/23        AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
                      AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
23.37.230.0/24        AS22773       ASN-CXA-ALL-CCI-22773-RDC, US
                      AS20940       AKAMAI-ASN1, NL
23.40.128.0/20        AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
                      AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
23.42.144.0/22        AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
                      AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
23.47.0.0/21          AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
                      AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
23.50.236.0/22        AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
                      AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
23.53.80.0/20         AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
                      AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
23.61.96.0/20         AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
                      AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
23.190.16.0/24        AS14618       AMAZON-AES, US
                      AS31898       ORACLE-BMC-31898, US
                      AS400148      BULK-SOLUTIONS-01, US
23.196.229.0/24       AS22773       ASN-CXA-ALL-CCI-22773-RDC, US
                      AS20940       AKAMAI-ASN1, NL
23.200.90.0/23        AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
                      AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
23.201.45.0/24        AS22773       ASN-CXA-ALL-CCI-22773-RDC, US
                      AS20940       AKAMAI-ASN1, NL
23.201.46.0/24        AS22773       ASN-CXA-ALL-CCI-22773-RDC, US
                      AS20940       AKAMAI-ASN1, NL
23.213.112.0/20       AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
                      AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
23.252.77.0/24        AS3257        GTT-BACKBONE GTT, US
                      AS19257       SUBRIGO, US
23.252.78.0/24        AS3257        GTT-BACKBONE GTT, US
                      AS19257       SUBRIGO, US
27.0.132.0/22         AS58854       KAOPY Kaopu Cloud, CN
                      AS138915      KAOPU-HK Kaopu Cloud HK Limited, HK
27.130.0.0/16         AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
                      AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
31.43.184.0/24        AS51822       SOPREMA, FR
                      AS22652       FIBRENOIRE-INTERNET, CA
31.204.26.0/24        AS9009        M247, RO
                      AS209372      WSTELECOM_CUSTOMERS, LV
34.0.128.0/19         AS19527       GOOGLE-2, US
                      AS15169       GOOGLE, US
35.206.0.0/24         AS19527       GOOGLE-2, US
                      AS15169       GOOGLE, US
35.206.3.0/24         AS19527       GOOGLE-2, US
                      AS15169       GOOGLE, US
35.206.5.0/24         AS19527       GOOGLE-2, US
                      AS15169       GOOGLE, US
35.206.6.0/24         AS19527       GOOGLE-2, US
                      AS15169       GOOGLE, US
35.206.9.0/24         AS19527       GOOGLE-2, US
